Action;Adventure;Animation;Comedy;Family;Fantasy;ScienceFiction;Thriller;Crime;Drama;Mystery;Music;Romance;Western;Foreign;History;War;Horror;Documentary;Adventure;Action;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;Foreign;History;Horror;Music;Mystery;None;Romance;ScienceFiction;Thriller;TVMovie;War;Western;budget;originallanguage;popularity;releasedate;revenue;runtime;title;voteaverage;votecount
1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72000000;en;20.755149;1995;210000000;177;Braveheart;7,7;3404
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1300000;en;14.092713;1976;28262574;114;Taxi Driver;8,1;2632
0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500000;cn;12.314278;1995;32392047;91;Rumble in the Bronx;6,5;245
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25000000;en;1.522412;1995;6278139;113;Steal Big Steal Little;5,1;7
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40000000;en;6.506983;1992;70100000;117;Boomerang;5,4;139
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7000000;en;5.579088;1996;14702438;92;Flirting with Disaster;6,3;66
1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000000;en;11.418917;1995;9851610;95;Jade;5,1;45
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31000000;en;6.49968;1996;185260553;117;The Birdcage;6,7;303
1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19000000;en;9.262184;1995;141407024;118;Bad Boys;6,5;1729
0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4000000;en;0.922958;1995;851545;113;An Awfully Big Adventure;6;11
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52000000;en;18.761467;1995;355237933;140;Apollo 13;7,3;1637
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28000000;en;10.193549;1995;31596911;139;Rob Roy;6,5;151
1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100000000;en;13.321354;1995;336529144;121;Batman Forever;5,2;1529
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000000;en;11.528147;1995;1275000;83;Blue in the Face;6,8;28
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11000000;en;5.391556;1995;178104;91;Canadian Bacon;5,9;57
0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50000000;en;12.812539;1995;287928194;100;Casper;6;1045
0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;25000000;en;4.558992;1995;13071518;128;Clockers;6,8;69
1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000000;en;7.260574;1995;152022101;109;Congo;5;214
1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53000000;en;8.657365;1995;157387195;116;Crimson Tide;7;508
